,x_index,data,y_index
0,0,0.32517482517482516,9
1,1,0.32517482517482516,9
2,2,0.32517482517482516,9
3,3,0.4265734265734267,9
4,4,0.42892774825921504,9
5,5,0.4265734265734267,9
6,6,0.4265734265734267,9
7,7,0.5122377622377622,9
8,8,0.5122377622377622,9
9,9,0.5122377622377622,9
10,10,0.4265734265734267,9
11,11,0.4265734265734267,9
12,12,0.4265734265734267,9
13,13,0.42908477565227937,9
14,14,0.32517482517482516,9
15,15,0.32517482517482516,9
16,16,0.32517482517482516,9
17,0,0.32517482517482516,8
18,1,0.32517482517482516,8
19,2,0.4318181818181819,8
20,3,0.4265734265734267,8
21,4,0.5122377622377622,8
22,5,0.5122377622377622,8
23,6,0.5122377622377622,8
24,7,0.5986893294634769,8
25,8,0.5986893294634769,8
26,9,0.5986893294634769,8
27,10,0.5122377622377622,8
28,11,0.5122377622377622,8
29,12,0.5122377622377622,8
30,13,0.4265734265734267,8
31,14,0.4265734265734267,8
32,15,0.32517482517482516,8
33,16,0.32517482517482516,8
34,17,0.2377622377622379,8
35,0,0.2377622377622379,7
36,1,0.2377622377622379,7
37,2,0.32517482517482516,7
38,3,0.4265734265734267,7
39,4,0.5130535481592582,7
40,5,0.5986893294634769,7
41,6,0.5986893294634769,7
42,7,0.5986893294634769,7
43,8,0.7062937062937062,7
44,9,0.7062937062937062,7
45,10,0.7062937062937062,7
46,11,0.7062937062937062,7
47,12,0.7062937062937062,7
48,13,0.5986893294634769,7
49,14,0.5986893294634769,7
50,15,0.5122377622377622,7
51,16,0.4265734265734267,7
52,17,0.32517482517482516,7
53,18,0.2377622377622379,7
54,0,0.13986013986014,6
55,1,0.2377622377622379,6
56,2,0.32517482517482516,6
57,3,0.4265734265734267,6
58,4,0.5986893294634769,6
59,5,0.7062937062937062,6
60,6,0.8041958041958042,6
61,7,0.8041958041958042,6
62,8,0.895104895104895,6
63,9,0.8041958041958042,6
64,10,0.895104895104895,6
65,11,0.8041958041958042,6
66,12,0.8041958041958042,6
67,13,0.7062937062937062,6
68,14,0.5986893294634769,6
69,15,0.4265734265734267,6
70,16,0.32517482517482516,6
71,17,0.2377622377622379,6
72,18,0.13986013986014,6
73,0,0.053613053613053435,5
74,1,0.053613053613053435,5
75,2,0.13986013986014,5
76,3,0.4265734265734267,5
77,4,0.9930069930069928,5
78,5,1.083916083916084,5
79,6,1.083916083916084,5
80,7,0.895104895104895,5
81,8,0.8041958041958042,5
82,9,0.8041958041958042,5
83,10,0.895104895104895,5
84,11,0.9930069930069928,5
85,12,1.083916083916084,5
86,13,0.9930069930069928,5
87,14,0.895104895104895,5
88,15,0.4265734265734267,5
89,16,0.13986013986014,5
90,17,0.053613053613053435,5
91,18,0.053613053613053435,5
92,0,-0.13687376934877743,4
93,1,-0.13687376934877743,4
94,2,-0.23310023310023317,4
95,3,-0.6118881118881119,4
96,4,-1.1748251748251746,4
97,5,-1.2727272727272725,4
98,6,-1.1748251748251746,4
99,7,-1.0839160839160842,4
100,8,-1.0839160839160842,4
101,9,-1.1748251748251746,4
102,10,-1.2727272727272725,4
103,11,-1.2727272727272725,4
104,12,-1.0839160839160842,4
105,13,-0.6118881118881119,4
106,14,-0.23310023310023317,4
107,15,-0.13687376934877743,4
108,16,-0.13687376934877743,4
109,0,-0.23310023310023317,3
110,1,-0.3286713286713287,3
111,2,-0.4248251748251749,3
112,3,-0.508158508158508,3
113,4,-0.7062937062937062,3
114,5,-0.7972027972027971,3
115,6,-0.7972027972027971,3
116,7,-0.895104895104895,3
117,8,-0.895104895104895,3
118,9,-0.895104895104895,3
119,10,-0.7972027972027971,3
120,11,-0.7972027972027971,3
121,12,-0.7062937062937062,3
122,13,-0.508158508158508,3
123,14,-0.4248251748251749,3
124,15,-0.3286713286713287,3
125,16,-0.23310023310023317,3
126,0,-0.23310023310023317,2
127,1,-0.3286713286713287,2
128,2,-0.4248251748251749,2
129,3,-0.508158508158508,2
130,4,-0.508158508158508,2
131,5,-0.6118881118881119,2
132,6,-0.7062937062937062,2
133,7,-0.7062937062937062,2
134,8,-0.7062937062937062,2
135,9,-0.7062937062937062,2
136,10,-0.7062937062937062,2
137,11,-0.6118881118881119,2
138,12,-0.508158508158508,2
139,13,-0.508158508158508,2
140,14,-0.4248251748251749,2
141,15,-0.3286713286713287,2
142,16,-0.23310023310023317,2
143,0,-0.23310023310023317,1
144,1,-0.3286713286713287,1
145,2,-0.3286713286713287,1
146,3,-0.4248251748251749,1
147,4,-0.508158508158508,1
148,5,-0.508158508158508,1
149,6,-0.508158508158508,1
150,7,-0.6118881118881119,1
151,8,-0.6118881118881119,1
152,9,-0.6118881118881119,1
153,10,-0.508158508158508,1
154,11,-0.508158508158508,1
155,12,-0.508158508158508,1
156,13,-0.4248251748251749,1
157,14,-0.3286713286713287,1
158,15,-0.3286713286713287,1
159,16,-0.23310023310023317,1
160,0,-0.23310023310023317,0
161,1,-0.3286713286713287,0
162,2,-0.3286713286713287,0
163,3,-0.4248251748251749,0
164,4,-0.4248251748251749,0
165,5,-0.4248251748251749,0
166,6,-0.4248251748251749,0
167,7,-0.508158508158508,0
168,8,-0.508158508158508,0
169,9,-0.508158508158508,0
170,10,-0.4248251748251749,0
171,11,-0.4248251748251749,0
172,12,-0.4248251748251749,0
173,13,-0.4248251748251749,0
174,14,-0.3286713286713287,0
175,15,-0.3286713286713287,0
176,16,-0.23310023310023317,0
