,r,g,b,data
0,130,16,1,3.0
1,147,17,0,2.993006993006993
2,147,16,0,2.965034965034965
3,150,19,0,2.958041958041958
4,152,18,0,2.944055944055944
5,153,19,0,2.937062937062937
6,155,18,0,2.923076923076923
7,156,20,0,2.9160839160839163
8,157,19,0,2.909090909090909
9,158,21,0,2.902097902097902
10,159,21,0,2.895104895104895
11,160,20,0,2.888111888111888
12,161,21,0,2.8811188811188813
13,162,21,0,2.874125874125874
14,164,21,0,2.867132867132867
15,165,22,0,2.86013986013986
16,166,22,0,2.8531468531468533
17,167,22,0,2.8461538461538463
18,168,23,0,2.839160839160839
19,169,23,0,2.832167832167832
20,170,22,0,2.825174825174825
21,171,22,0,2.8181818181818183
22,172,23,0,2.8111888111888113
23,173,23,0,2.804195804195804
24,174,23,0,2.797202797202797
25,177,24,0,2.7832167832167833
26,179,24,0,2.769230769230769
27,179,25,0,2.762237762237762
28,181,24,0,2.7552447552447554
29,182,25,0,2.7412587412587412
30,184,25,0,2.734265734265734
31,186,24,0,2.7202797202797204
32,186,25,0,2.7132867132867133
33,188,25,0,2.7062937062937062
34,189,26,0,2.699300699300699
35,190,27,0,2.6923076923076925
36,192,26,0,2.6853146853146854
37,193,27,0,2.6713286713286712
38,194,27,0,2.664335664335664
39,195,26,0,2.6573426573426575
40,196,27,0,2.6503496503496504
41,197,27,0,2.6433566433566433
42,198,27,0,2.6363636363636362
43,199,27,0,2.629370629370629
44,200,29,0,2.6223776223776225
45,201,29,0,2.6153846153846154
46,203,28,0,2.6083916083916083
47,204,29,0,2.6013986013986012
48,205,29,0,2.5944055944055946
49,206,29,0,2.5874125874125875
50,208,30,0,2.5734265734265733
51,210,29,0,2.5594405594405596
52,210,31,0,2.5524475524475525
53,211,30,0,2.5454545454545454
54,212,30,0,2.5384615384615383
55,213,31,0,2.5314685314685317
56,216,31,0,2.5244755244755246
57,217,31,0,2.5104895104895104
58,218,32,0,2.5034965034965033
59,219,31,0,2.4965034965034967
60,220,31,0,2.4895104895104896
61,221,32,0,2.4825174825174825
62,222,32,0,2.4755244755244754
63,223,31,0,2.4685314685314683
64,223,33,0,2.4615384615384617
65,225,33,0,2.4545454545454546
66,226,33,0,2.4405594405594404
67,227,34,0,2.4335664335664333
68,229,34,0,2.4265734265734267
69,230,33,0,2.4195804195804196
70,231,34,0,2.4125874125874125
71,233,34,0,2.3986013986013988
72,235,35,0,2.3846153846153846
73,236,34,0,2.370629370629371
74,237,36,0,2.3636363636363638
75,238,36,0,2.3566433566433567
76,239,35,0,2.3496503496503496
77,240,36,0,2.3426573426573425
78,241,36,0,2.335664335664336
79,243,36,0,2.3286713286713288
80,245,37,0,2.3146853146853146
81,246,37,0,2.300699300699301
82,247,38,0,2.2937062937062938
83,248,38,0,2.2867132867132867
84,248,37,0,2.2797202797202796
85,250,39,0,2.2727272727272725
86,252,38,0,2.2587412587412588
87,253,40,0,2.244755244755245
88,255,39,0,2.237762237762238
89,255,40,0,2.2237762237762237
90,255,42,0,2.195804195804196
91,255,44,0,2.160839160839161
92,255,45,0,2.132867132867133
93,255,47,0,2.1118881118881117
94,255,48,0,2.104895104895105
95,255,49,0,2.090909090909091
96,255,50,0,2.083916083916084
97,255,51,0,2.0769230769230766
98,255,52,0,2.06993006993007
99,255,53,0,2.062937062937063
100,255,54,0,2.055944055944056
101,255,55,0,2.048951048951049
102,255,56,0,2.041958041958042
103,255,57,0,2.034965034965035
104,255,58,0,2.027972027972028
105,255,60,0,2.013986013986014
106,255,62,0,2.0
107,255,63,0,1.993006993006993
108,255,64,0,1.986013986013986
109,255,66,0,1.979020979020979
110,255,67,0,1.965034965034965
111,255,68,0,1.9580419580419581
112,255,70,0,1.951048951048951
113,255,71,0,1.944055944055944
114,255,73,0,1.93006993006993
115,255,74,0,1.9230769230769231
116,255,76,0,1.916083916083916
117,255,77,0,1.9090909090909092
118,255,78,0,1.902097902097902
119,255,80,0,1.8881118881118881
120,255,82,0,1.8741258741258742
121,255,83,0,1.867132867132867
122,255,84,0,1.8601398601398602
123,255,85,0,1.8531468531468531
124,255,86,0,1.8461538461538463
125,255,87,0,1.8391608391608392
126,255,89,0,1.832167832167832
127,255,91,0,1.8181818181818181
128,255,93,0,1.8041958041958042
129,255,95,0,1.7972027972027973
130,255,97,0,1.7832167832167831
131,255,99,0,1.7692307692307692
132,255,100,0,1.7622377622377623
133,255,102,0,1.7552447552447552
134,255,103,0,1.7412587412587412
135,255,104,0,1.7342657342657342
136,255,105,0,1.7272727272727273
137,255,107,0,1.7202797202797202
138,255,108,0,1.7132867132867133
139,255,109,0,1.7062937062937062
140,255,110,0,1.6993006993006994
141,255,111,0,1.6923076923076923
142,255,112,0,1.6853146853146854
143,255,113,0,1.6783216783216783
144,255,114,0,1.6713286713286712
145,255,115,0,1.6643356643356644
146,255,117,0,1.6573426573426573
147,255,118,0,1.6503496503496504
148,255,119,0,1.6433566433566433
149,255,120,0,1.6363636363636365
150,255,121,0,1.6293706293706294
151,255,122,0,1.6223776223776223
152,255,123,0,1.6153846153846154
153,255,125,0,1.6083916083916083
154,255,127,0,1.5944055944055944
155,255,128,0,1.5874125874125875
156,255,130,0,1.5734265734265733
157,255,132,0,1.5594405594405594
158,255,134,0,1.5454545454545454
159,255,135,0,1.5384615384615385
160,255,136,0,1.5314685314685315
161,255,138,0,1.5244755244755244
162,255,139,0,1.5104895104895104
163,255,140,0,1.5034965034965035
164,255,141,0,1.4965034965034965
165,255,142,0,1.4895104895104896
166,255,143,0,1.4825174825174825
167,255,144,0,1.4755244755244756
168,255,145,0,1.4685314685314685
169,255,147,0,1.4615384615384615
170,255,148,0,1.4545454545454546
171,255,149,0,1.4475524475524475
172,255,150,0,1.4405594405594406
173,255,151,0,1.4335664335664335
174,255,152,0,1.4265734265734267
175,255,153,0,1.4195804195804196
176,255,154,0,1.4125874125874125
177,255,156,0,1.3986013986013985
178,255,158,0,1.3846153846153846
179,255,160,0,1.3706293706293706
180,255,162,0,1.3636363636363635
181,255,164,0,1.3496503496503496
182,255,165,0,1.3356643356643356
183,255,166,0,1.3286713286713288
184,255,167,0,1.3216783216783217
185,255,168,0,1.3146853146853146
186,255,169,0,1.3076923076923077
187,255,170,0,1.3006993006993006
188,255,171,0,1.2937062937062938
189,255,172,0,1.2867132867132867
190,255,173,0,1.2797202797202798
191,255,175,0,1.2727272727272727
192,255,176,0,1.2657342657342658
193,255,177,0,1.2587412587412588
194,255,178,0,1.2517482517482517
195,255,180,0,1.2377622377622377
196,255,181,0,1.2307692307692308
197,255,182,0,1.2237762237762237
198,255,183,0,1.2167832167832169
199,255,185,0,1.2027972027972027
200,255,187,0,1.1888111888111887
201,255,189,0,1.1748251748251748
202,255,190,0,1.1608391608391608
203,255,191,0,1.1538461538461537
204,255,192,0,1.1468531468531469
205,255,195,0,1.132867132867133
206,255,197,0,1.118881118881119
207,255,199,0,1.104895104895105
208,255,200,0,1.0909090909090908
209,255,201,0,1.083916083916084
210,255,202,0,1.0769230769230769
211,255,204,0,1.062937062937063
212,255,205,0,1.055944055944056
213,255,206,0,1.048951048951049
214,255,207,0,1.0419580419580419
215,255,209,0,1.027972027972028
216,255,211,0,1.013986013986014
217,255,212,0,1.006993006993007
218,255,214,0,0.9930069930069929
219,255,217,0,0.9790209790209792
220,255,218,0,0.965034965034965
221,255,219,0,0.9580419580419579
222,255,220,0,0.9510489510489513
223,255,221,0,0.9440559440559442
224,255,222,0,0.9370629370629371
225,255,224,0,0.9230769230769229
226,255,225,0,0.9090909090909092
227,255,226,0,0.9020979020979021
228,255,227,0,0.895104895104895
229,255,228,0,0.8881118881118879
230,255,229,0,0.8811188811188813
231,255,230,0,0.8741258741258742
232,255,232,0,0.86013986013986
233,255,233,0,0.8461538461538463
234,255,234,0,0.8391608391608392
235,255,235,0,0.8321678321678321
236,255,236,0,0.825174825174825
237,255,237,0,0.8181818181818183
238,255,238,0,0.8111888111888113
239,255,239,0,0.8041958041958042
240,254,242,0,0.7902097902097904
241,255,243,0,0.7762237762237763
242,255,244,0,0.7692307692307692
243,255,245,0,0.7622377622377621
244,255,246,0,0.7552447552447554
